# La frase que sale bajo el nombre de cada personaje.
# identidad = el valor del campo 0xBA162C11 de la partida.
# Lo genera herramientas/construir_descripciones.py (NOTAS O-92).
identidad,descripcion
3EA257BE,El capitán del Protocolo Omega 3.0 tiene una fe ciega en sus habilidades.
3EB44708,"Tiene una frente grande. Siempre le preguntan si no juega al ""frontón ""."
3EB702C7,Le atrae lo extraño e inusual y suele meter las narices donde no la llaman.
3EBCB9AB,Se pone una máscara que da miedo y asusta a los niños pequeños.
3EBE33C0,El duro entrenamiento de Orión hizo que su oscuro cabello se volviese blanco como la nieve.
3EC1EE27,Odia las nuevas tecnologías. Lo hace todo a la luz de las velas.
3EC66FC1,Un jugador de baloncesto de brazos alargados. Siempre ha preferido trabajar en solitario.
3ECAB93C,"Su tiempo en el Ares le ayudó a perfeccionar sus habilidades, pero detestó lo estricto que era el entrenamiento."
3EDCC326,Miembro de un grupo de superhéroes del barrio. Sigiloso y enérgico.
3EF760B5,Nadie entiende cómo puede crecer tanto comiendo tan poco.
3EFCB8E3,Invítalo a un buen bistec a la parrilla y será tu amigo de por vida.
3F038410,Le gusta cocinar y su sueño es convertirse en un chef de primera.
3F08D30B,"Confía ciegamente en <FLC:NOSAKA>. Lo acompaña a todas partes, como un guardián silencioso."
3F14143F,"Tras unificar sus personalidades, ha logrado combinar la fuerza de su hermano con una aguda capacidad analítica."
3F1EA911,Su sueño es convertirse en articulista de una revista de crítica musical.
3F350A82,Patinador de velocidad que corre distancias largas y cortas.
3F3BBF71,"Joven algo ingenuo, pero que adora el fútbol. Su juego es tan agradable como una bocanada de aire fresco."
3F3ED2D4,Le encanta la arquitectura colonial propia de Buenos Aires.
3F41691B,"Siempre se queda mirando su brújula, así que no ve por dónde va y se pierde igualmente."
3F424FEE,Su control del balón es tal que no existe nadie capaz de detenerle.
3F42F00E,Le despidieron por beber y su familia lo echó. Juega y carga consigo un pasado turbulento.
3F4918F5,Tiene un pelo tan rebelde que no hay peine ni cinta que lo domine.
3F4BF4B6,"Actúa en obras de teatro desde los tres años. No sabe de fútbol, pero es bastante piscinero."
3F570A07,Le encanta presumir de sus notas y explicarte la respuesta con una sonrisa de oreja a oreja.
3F59A72C,Cuida un santuario junto a su familia. Disfruta la horticultura y le gusta plantar flores en secreto.
3F609EC3,El consentido heredero del grupo <LST:KIRA>. Sus habilidades individuales hacen que roce lo divino.
3F7568F0,Un prodigio del tenis. Nació para atravesar el campo a la velocidad del rayo.
3F762D3F,"Es muy exagerado. Define cada partido como ""un duelo a muerte ""."
3F7C59F7,Es el arma definitiva de Orión. Es imbatible tanto en inteligencia como en habilidad.
3F7ED39C,"Es muy bueno dando sustos, pero si fracasa se enfada con los demás."
3F84F4AD,Era tranquilo hasta que le lavaron el cerebro. Se ha vuelto agresivo.
3F928EB7,Una guarda y profesora de defensa personal que puede esquivar con gracia cualquier ataque.
3F99D9AC,"Tiene un intelecto privilegiado para su edad, y nada parece perturbarlo."
3F9B35EF,Tiñó de rosa los mechones de su fleco utilizando un producto amigable con el cabello y la piel.
3FAB7EBE,"Portero y duplicado de <FUL:ASTA>. Parece callado, pero habla por los codos."
3FBB4E2A,"Quiere dar un concierto de despedida con su grupo, pero los demás no están por la labor."
3FC7D310,Es presidente de una sociedad que estudia las maravillas del mundo.
3FD12647,"Se vale de su complexión para ejecutar poderosas jugadas, pero es tímido y se deja arrastrar como la arena."
3FD1A90A,No soporta que otros vagueen si él tiene que estar dándolo todo.
3FEC7083,Es hábil con el objetivo y tiene una peculiar fascinación por los tetrápodos de hormigón del paseo marítimo.
3FFB4F62,Está muy orgulloso de haber nacido y crecido en la ciudad.
4004409E,Quiere ser creadora de videojuegos y estudia programación.
400F98C8,"Con la ayuda de <FUL:MISTER K>, sus poderes han superado a los del ""original ""."
4012B5C9,"Se mueve por un deseo total de lucha, y prefiere ser capaz de mostrar su fuerza que buscar la venganza."
402212EF,"Le encanta el shogi, pero su cara de pocos amigos parece desafiar al tablero a pelear."
4030224F,Maníaco de los videojuegos. Se los compra todos el día de lanzamiento.
4030AD02,Se dice que todos sus amigos son muy felices. Muchas personas han caído víctima de esos rumores.
4032CE0C,Cada día lleva un atuendo tradicional de un país diferente.
4046CEAF,"Le fascina la mecánica, sobre todo ver cómo se mueven los engranajes de las máquinas industriales."
40476723,Es un señorito incapaz de empezar el día sin su baño de agua caliente.
404B32A9,Salir a correr con su perro le hizo ganar velocidad en el campo. Jura que su perrito es la clave de sus habilidades.
404BE013,Mejora el rendimiento de sus pulmones con bombonas de oxígeno.
405AC56F,"Quiere ser director de orquesta, así que practica con la batuta a diario."
4068ED30,"Odia perder, así que siempre tiene que ser el primero para todo, incluso para despertarse."
40702307,Es un maestro de la costura. Termina cualquier trabajo en un periquete.
407ABEAA,"Apodado ""Espejismo "". Se mueve con sigilo para robarle el balón al rival."
40A3C4AB,Puede cocinar cualquier plato con solo un pedazo de carbón.
40A893B0,"Forofo del feng shui, piensa al detalle hasta en cómo debería colocar su lápiz sobre la mesa."
40B4C6FD,Un medio que ejecuta las órdenes de <FLA:SAKAMAKI> fríamente y sin compasión.
40D802B2,¡Un avatar personalizado del jugador que iluminará el campo!
40DD3A9F,Le encanta el rap y tiene una colección enorme de discos de este género.
40E0E316,Profesional del aikido que tumba a quien sea dentro y fuera del campo.
411F50A8,"Capaz de cazar las moscas al vuelo. Sus amigos lo llaman ""el Cazabichos ""."
4122066C,"Callada y fuerte en apariencia, pero es la más solitaria de todo el equipo."
41228921,"Es un experto de los salones recreativos. Pase lo que pase, siempre gana."
414DEE0D,"Usó su uniforme de judo como uniforme escolar, pero el olor a sudor le disuadió de intentarlo otra vez."
4161AE9C,"Aunque la tumben, se levanta de nuevo llena de energía."
416AF987,"Sus remates de cabeza no tienen rival, gracias a la dureza de su cráneo."
41850D14,"Su mirada puede helarte el alma, pero le gustan los niños y se le da bien cuidar de los demás."
4189589E,"Hijo de jugadores rivales de <FUL:ENDO>. Fue enviado a Japón para vencer al hijo de su adversario, <FST:HARU>."
41898A24,Chico travieso y bromista. ¿Ocultará su pequeño cuerpo algún poder oculto?
4198AF58,"Sueña con alcanzar el éxito y la fama, y está dispuesto a hacer lo que sea para obtenerlos."
419FC317,Una animadora veterana cuya energía se sincroniza perfectamente con cualquiera que baile a su lado.
41AA8707,"En cuanto hay problemas, se mete en su fuerte de cojines y no sale."
41B24930,Un tipo pacífico al que le gusta echarse una siesta en mitad del campo.
41B7F167,"Siempre lleva una rosa en la boca que nunca se cae, ni siquiera en los momentos más caóticos."
41B8D49D,Talentoso pero despiadado. Lo obligan a jugar de portero para evitar lesiones.
41C37B9B,Un amante del sol que se unió al club de fútbol para disfrutar del calor del campo de fútbol.
41C62AA9,"Se entrenó para hacer músculo, pero solo consiguió adelgazar."
41F0A43B,Siempre insiste en organizar eventos pero nunca participa en ellos.
41F2C735,"Siempre está tramando un plan tras otro, pero todos se le acaban torciendo tarde o temprano."
4201D97A,Aguanta muy bien el frío. Lleva manga corta incluso en invierno.
42029CB5,Domina el campo con su radiante sonrisa. No puedes evitar perdonarla si te gana.
420BADB2,"Su eterno rostro inexpresivo oculta sus verdaderos pensamientos, incluso a sus propios compañeros."
422E5369,"Es impulsivo y siempre va directo hacia los rivales, sin tácticas refinadas. Se cree que es un elfo."
4235044B,"Solo está en el campo para rendir homenaje a su último mentor, pero juega como si la pasión no lo hubiera abandonado."
42369D5E,Nunca compra billetes de lotería porque le horroriza la idea de perderlos.
423C00F3,"Cuando aparece, se nubla hasta el día más soleado. Eso sí, no llueve nunca."
4242FEC7,Es adiestrador profesional y puede domar a cualquier animal.
42695D54,"Muy habilidoso, pero asusta a la gente por culpa de su cara y su poca finura."
42747055,"Cuando ve una tela que le gusta, la compra para hacer prendas con ella."
4276135B,Una alienígena con un pelo larguísimo de dulce aroma... y la costumbre de que los demás le toquen la nuca.
427F274E,"Los rivales sienten la presión en cuanto cruzan su mirada, mucho antes de que su fuerza y elegancia hagan el resto."
4284CAC9,"Amigo íntimo de <FST:AMEN>, le encanta nadar y recorrer con él las profundidades de los lagos."
428CBB27,Es un amante de la cocina italiana que se prepara sus propios espaguetis.
429B84C6,Siempre está despistada y acaba metiéndose en líos sin darse cuenta.
42A65D4F,Siempre se duerme... ¡incluso mientras está comiendo o andando!
42A6D202,Admira a <FST:KAZERMA> como si fuera un hermano mayor. Su agilidad le permite robar el balón fácilmente.
42B02755,Baila claqué y sabe cautivar a su audiencia con sus movimientos.
42DC8AFB,"Defensa y duplicado de <FUL:ASTA>. Parece marrullero, pero siempre juega limpio."
42E57AF2,"Siempre lleva una porra y si coge a un criminal, no lo suelta."
42EE2DE9,"Su especialidad son los tiros fuertes, precisos y mortales como una espada."
42F300E8,"Se dejó lavar el cerebro por su hermanito, muy futbolero."
430EC21A,"El guerrero definitivo, nacido del Proyecto Génesis. Sus tiros son como cometas."
4312DB98,"Dice ser un ángel y, por su voz, es difícil dudar de su palabra."
4325EC2D,"Un chico impulsivo que se preocupa mucho por sus compañeros. A pesar de su imponente aura, siempre se esfuerza por mejorar."
432710C5,Francotirador excelente que podría representar a su país en torneos.
432C47DE,Su aspecto no ha cambiado desde hace años y le preocupa parecer más joven de lo que es.
43316ADF,El lavado de cerebro le infundió el miedo. Ahora reacciona de forma exagerada a los imprevistos.
4346A0FE,"Cuando se agobia, empieza a oler tan mal que hasta él se marea."
434ED110,Siempre actúa con lógica y tiene una voluntad de hierro.
4359EEF1,"Experto calígrafo, pero con una letra tan artística que nadie puede leerla."
43643778,Los días en que ayuda en la tienda de su padre hay muchas ventas.
43724D62,Joven carismático que ama sin condición la música reggae.
438094F0,Es tan ahorrador que en su casa apenas produce basura.
438B4CA6,Lo llaman el Cóndor porque sus ataques son tan efectivos como los de esta ave rapaz.
43AB265F,"Siempre tiene una sonrisa en la cara, pero cuando se enfada es imparable."
43AB3763,No se pierde ningún concierto de rock en vivo. ¡Siempre dando gritos en primera fila!
43B4796C,Un misterioso alienígena que se hizo pasar por <FUL:AARON> para participar en el FFIV2.
43B4F621,Con su parche reprime la fuerza que ha adquirido de las artes ninjas.
43B61A62,Una misteriosa voz lo incitó a meterse en el club de baloncesto.
43C3B34D,Comparte su comida si ve que alguien tiene hambre.
43EC395E,"Sueña con aplastar pasteles de arroz, pero aún no puede levantar el mazo."
43F4F769,"Cuando sea mayor, quiere dedicarse a la gestión de líneas aéreas."
43FE6AC4,"Siempre juega limpio. Respeta al rival, aunque le falta don de gentes."
440AEA5C,"Aunque era el blanco de los matones, ahora este chico de lágrima fácil trabaja más duro que ninguna otra persona."
4425604F,Este jugador celestial puede ver la verdad con solo cerrar los ojos.
442EB819,Chico travieso y bromista. ¿Ocultará su pequeño cuerpo algún poder oculto?
44384D4E,Un misterioso shinobi del Valle de las Sombras que lanza cartas como si fueran shurikens durante los combates.
4440C959,"De la alta sociedad, sabe cómo manejar las situaciones. Para evitar conflictos siempre apoya a la mayoría."
4450462D,"Le encanta comer helados, especialmente en los fríos días de invierno."
445F0088,Un tipo popular al que le quedan muy bien las gafas. O al menos eso es lo que él dice...
44609557,Un entrenador adjunto muy enérgico del Bastión. Mantiene motivado al entrenador y animado al equipo.
446D9FA4,Siempre llega tarde al instituto. Sale de la nada durante el almuerzo.
44703DE8,"Su familia elabora cerveza artesanal, pero él prefiere un buen vaso de zumo de manzana."
447751A7,Lleva dulces a escondidas porque la emoción de que la pillen es más dulce que los mismos caramelos.
447E60A0,Peina cada uno de sus mechones con mimo. Se enfada si alguien cree que no se peinó tras levantarse.
447F7A79,Siempre va masticando chicle. Se pavonea por el campo porque se cree el más guay.
4482E47A,"Es el delantero estrella de Orfeo, al que llaman el Meteoro Blanco Italiano."
44893C2C,Es capaz de cultivar con éxito rosas que solo crecen en otras latitudes.
448ECD0F,"Es pequeña, imparable y se encara con sus rivales con una determinación y energía inagotables."
44A57CBD,"Sus rasgos firmes le dan un aspecto de líder, capaz de cargar con el mundo del sumo sobre sus grandes hombros."
44BD5EFD,Es el mayor de tres hermanos y capitán del Kirkwood. Un perfeccionista que cree que la victoria es algo sagrado.
44BDD1B0,"Cuando no tiene nada que hacer, se pasa el día mirando al cielo, sin mover un solo músculo."
44BFB2BE,Le gustan los aviones de combate y disfruta fotografiando los espectáculos aéreos.
44CA1B91,"Le encanta pasear con perritos, pero su tamaño gigantesco hace que sea todo un espectáculo."
44E59182,Siempre va a la moda y luego se queja de que todo el mundo le copia.
44F7C218,Da miedo verlo correr. Sus rivales se apartan para que no los arrolle.
44FD5FB5,"Prefiere ser un villano antes que un héroe, así que este luchador aspirante busca obtener el papel de malo."
450871A6,Corre tan rápido que crea un vacío de aire tras de sí.
4527FBB5,"Le encanta hacer el payaso, y si no hace reír a la gente, lo pasa mal."
453F3582,"Se le da de maravilla leer cartas náuticas, por lo que siempre lleva el rumbo correcto."
454B561B,Tiene buena mano con el frisbee. No se le escapa ni uno.
457DD889,Cree en el tarot y no sale a jugar si las cartas le pronosticaron un mal partido.
457FBB87,"Comercia con cuadernos de supertécnicas secretos, aunque los más importantes siempre están agotados."
4582A36E,Una fanática de la moda que siempre desborda energía. El público siempre quiere ver sus llamativas acrobacias.
45922C1A,Cree firmemente que los conflictos se resuelven con dos buenos tortazos.
45A2674B,Hay gente que cree que es un robot con una súper IA por lo bien que juega.
45A2FF60,Siempre toca la pandereta para animar al equipo. Su ritmo le transmite energía.
45AF7ADE,Odia madrugar y anda con cara de sueño hasta bien entrado el mediodía. Mejor no programarle entrenamientos por la mañana.
45AFF593,Ayuda en una residencia de gente mayor y quiere convertirse en un especialista algún día.
45B257DF,"Le gusta sentarse en el parque a leer poesías de Heinrich Heine, su autor favorito."
45B53B90,"No entrena, pero le encantaría jugar en partidos oficiales. Lucha hasta la muerte en las pruebas de selección."
45BC0A97,"Motiva a todos con un ""¡Olé! "". Lidera a los Olé de Samba con una inquebrantable determinación."
45C8806B,"Es el único chico de ciudad del equipo. Es algo pasota pero guay, y siempre busca seguir mejorando."
45D0C111,"<FST:PTUMRI> tomó el cuerpo de <FLC:MINORI> con su fuerza de voluntad, cambiándola hasta parecerse a su auténtica forma."
45E78535,"Un defensa de fuerza descomunal, puede levantar hasta una pesa de doscientos kilos sin esfuerzo."
45E9D15E,El anterior capitán del club de fútbol de <MNT:NAGUMOHARA>. Usa sus descansos para velar por el parque marítimo.
45ECD22E,No duda en ningún momento. Bloquea al contrario con su juego directo.
46005642,Tiene unos ojos grandes y encantadores. Su enorme físico es todo un problema para sus rivales.
4604ABEE,Le encanta luchar. Se toma el terreno de juego como un campo de batalla.
4606E01A,"Se metió en el fútbol para perseguir leyendas raras. Todavía cree en todo, incluso en el Yeti y Santa Claus."
46071079,Todo un estratega que siempre mantiene la calma. Es el pegamento que mantiene unido al equipo.
462B21FD,Colecciona relojes. Los fabricados en el extranjero le vuelven loco.
462BAEB0,"Formó una banda con <FST:YURI> y <FST:ZAUR>..., aunque los tres tocan el bajo."
463EFFBB,"Fue un famoso lanzador apodado la ""bestia serena "". Ahora juega por divertirse porque su hombro no da más de sí."
464CC31F,"No le pega, pero es un romántico enamorado de las vistas nocturnas."
464EDFFE,"Un fanático del fútbol, tan brillante y enérgico como el propio sol, que siempre hace que el ambiente se caldee."
4657DFFD,Sus aleteos le dan el primer puesto. Su meta es durar lo suficiente como para mantenerse en cabeza.
4663515B,"Se dice que con su fuerza de voluntad, es capaz de abrirse camino entre la maleza con solo levantar su mano."
46680640,Puede correr con total estabilidad hasta en campos embarrados.
467E1CC7,"Su pasión por el fútbol es insuperable. Pase lo que pase, su valiente corazón nunca se rendirá."
468CA5C8,Es uno de los cuatro emperadores de la liga alevín. Dispara con precisión y aprovecha cualquier resquicio.
469188C9,"Le fascinan las cosas que son tres, ya sean mosqueteros, tenores o cerditos."
46A32FDB,Una chica del sur que ama las especias. Tiene los labios así porque come comida picante todos los días.
46BBE1EC,Siempre lleva el casco puesto para evitar sufrir daños en la cabeza.
46CF8275,Siempre está presente cuando hay incidentes. Se dice que es una espía.
46D9F86F,"Lleva una olla por casco para que huela como un estofado (curioso, ¿no?)."
46F6727C,Delantero que nunca se lesiona y es leal a <FLA:SAKAMAKI> hasta la médula.
46FA4928,Perfecto en la vida real y busca serlo en el mundo virtual. Quiere ser el más inteligente.
46FA7FEA,Un androide creado por <FLA:SAKAMAKI>. El modo hyperdrive ha aumentado su potencia.
46FB6FE9,Su mirada seria esconde un gesto suave que aclara la mente como una brisa primaveral.
47063014,El máximo goleador de las eliminatorias norteamericanas del FFI. Lo llaman Sr. Gol.
47081289,"Aunque es un delincuente y problemático en el instituto, tiene unas piernas poderosas y da unas patadas tremendas."
470A1961,Impulsada por una energía tan descontrolada que podría destruirla. ¡Ahora está bajo el control de los Devoramentes!
470DE842,Enigmática adivina. Todas sus predicciones se acaban cumpliendo.
471B9258,"No se doblega ante nada, pero su persistencia se hace pesada."
47297877,No necesita gritos ni fuerza para intimidar al rival. Con la mirada le basta.
4734184B,Un medio que ejecuta las órdenes de <FLA:SAKAMAKI> fríamente y sin compasión.
4738445F,Confunde al rival porque cuando se mueve parece que esté bailando.
473905DE,"Siempre se mantiene positiva, jamás la ha visto nadie estando enfadada o triste."
47398A93,Mozo salvaje que caza pájaros y se los come como si fueran pollo frito.
473B66D0,Está ahorrando para comprar los instrumentos de una banda de rock.
4740CCA1,Sucesora de <LST:HIBIKI> como entrenadora del Raimon. Es estricta y precisa en su guía hacia la victoria.
47436172,Un impostor que se hace pasar por <FLC:TSURUGI> en el grupo. En realidad es un mercenario contratado por <FLC:OZROCK>.
474ECFFF,Tiene voz atronadora. Sus amigos se tapan los oídos cuando habla.
4753E2FE,"Ha creado un menú propio para el bar de su familia, pero sin mucho éxito."
4758B5E5,Chica impertinente que nunca pierde la compostura. Un rasgo que a muchos les resulta atractivo.
476145EC,"Le fascina la comida, pero si tuviera que elegir entre el fútbol y comer, se quedaría con el fútbol."
47798BDB,Le encantaría poder viajar por el mundo para estudiar otras culturas.
4783BEA8,Confía plenamente en sus habilidades. Suele culpar a los que lo rodean cuando las cosas van mal.
478E03CC,Un delantero impasible que disfruta sorprendiendo a los rivales.
47A1B421,"Despiadado y retorcido, no vacila en usar sus poderes del inframundo."
47AA6C77,Domina la esgrima y se mueve de una forma que confunde al contrario.
47B5C6AB,¡Un avatar personalizado del jugador que iluminará el campo!
47C23C75,"Destaca en tándem con su gémelo, <FST:SAMIRA>. Confia en muy pocos más sobre el campo."
47C48A2D,"Una alegre bromista con muchos fans, que siempre se intenta colar a las reuniones de los otros equipos."
47D313A5,"Un chico con un pasado misterioso. Lo llaman ""<FUL:TOBI> el Coces ""."
47D49243,Sus amigos le dijeron que su peinado era horrible. Desde entonces no lo cambia como protesta.
47E94BCA,"A pesar de su corta edad, es un entendido coleccionista de antigüedades."
47EA0E05,"Ejecuta toda estrategia con plena precisión y sin vacilar, hasta las más cuestionables."
47FC958C,Sueña despierto con ser papá algún día. Ya se estresa por los chicos que quieran quedar con su hija
4805A9CC,Nació con esa cara de malas pulgas. Le gustaría saber sonreír bien.
4809DC7B,Un capitán reconocido entre los mejores del mundo. Tiene la determinación de un campeón y no subestima a nadie.
4812962D,Le gusta ir al súper e hincharse a comer muestras gratuitas.
4814D147,Exjugadora y amiga de infancia de <FLC:KISOJI> y <FLC:SAIJO>. Brinda un apoyo meticuloso dentro del campo a los jugadores.
481A688E,Importa revistas y lee en internet sobre fútbol. No se le escapa nada.
481AE7C3,"Grita ""¡Yajuu! "" cuando se pone contento y salta tan alto que desafía hasta a la gravedad."
4825D209,Delantero de Costail. Mantiene una tensa rivalidad con <FFS:GAUCHE>.
482E0A5F,Le gusta escuchar jazz y va a los pocos bares en que aún se toca.
4842A7F1,"Cuando se trata de pillar olas, a este surfero no le pesan los años. ¡No hay ola que se le resista!"
486D2DE2,Es muy estricto con la higiene. No se come nada que no haya lavado.
4882563C,Tiene una rara afición: le apasionan únicamente los aviones pequeños.
4882D971,"Un jugador calculador, que solo juega para sacar mejores notas."
4892C11F,Ignora las estrategias de la IA y confía en sus instintos. Asombra a los algoritmos con sus movimientos impredecibles.
48947747,Un estratega que lee el campo como un libro abierto. Dispara con una precisión surreal y despiadada.
489A980B,El Miximax Trans de <FST:TENMA> y Arturo es el rey de los centrocampistas.
489FF470,Es muy buen chico. Siempre sonríe y da de comer a perros abandonados.
48AADEBE,Rompió una reliquia familiar durante un entrenamiento. No descansará hasta dominar el balón.
48B07E63,"Le encanta jugar a juegos en línea, pero siempre olvida las contraseñas."
48B0E648,"Gracias a su dilatada experiencia, el entrenador de los Sílice mantiene la estabilidad del equipo con jugadas duras como rocas."
48BC4537,"Amante de la etiqueta, que corregirá de inmediato el ángulo de tus reverencias y tu posición al tocar un instrumento."
48C1FA6A,"Joven algo ingenuo, pero que adora el fútbol. Su juego es tan agradable como una bocanada de aire fresco."
48C3FEF8,"El implacable editor del club, que hace de todo para cumplir con las fechas de entrega."
48CAA9D7,Sueña despierto. Le gusta imaginar que salva el mundo.
48D8E21A,"El hermano pequeño del temido ""Poseidón "", con un poder y potencial a la altura."
48DCD3CD,Siempre va con las manos vacías porque deja los libros en la clase.
48E523C4,Domesticó a su propio caballo y ahora en su tiempo libre visita cabalgando los pueblos más cercanos.
48F635A5,Buscar tesoros es su hobby. Se dice que ha encontrado oro enterrado.
48F7705E,Tiene un exceso de confianza en sí mismo y no le teme a nada. Se pasa el día de bronca en bronca.
4903905D,"Joven algo ingenuo, pero que adora el fútbol. Su juego es tan agradable como una bocanada de aire fresco."
4908C3E0,Aficionado a deportes extremos. Hace puenting y barranquismo.
491353CE,"Un genio en el campo, de los que solo aparece uno cada década."
491B92F4,"Sus ojos oscuros esconden algún secreto, pero nadie sabe cuál."
491EB9FA,Esta campeona de kárate que está en secundaria ha noqueado a innumerables rivales.
492749F3,Un astuto embaucador con mirada de un zorro que utiliza la labia para estafar a la gente.
49345F92,"Miembro del llamado ""escuadrón supremo "". Tiene algo de encanto."
49351A69,No tiene miedo a las agujas. Se vacuna voluntariamente de todo lo que puede.
49403C0B,"Siempre parece estar en Babia, pero no se pierde un detalle del juego."
4940B346,Es un jugador muy impulsivo. Dribla con el balón con la fuerza de un ciclón.
49427AFE,Un jugador tan bello y esbelto que da el pego como chica. Conoce bien a <FLC:SHINDO>.
4950AB28,"Motivado para ganar y siempre concentrado, suele terminar corriendo de un lado a otro por el caos que genera su capitán."
4958F23C,El Miximax Trans de <FST:TENMA> y <FUL:SYU> combina fuerza y pasión.
495D9E47,Es uno de los gemelos. Solo va al instituto cuando hace sol.
4968B489,Por la mañana está en el club de investigación. Sus reflejos relámpago lo han convertido en un portero de primera.
496E4E99,¡Un avatar personalizado del jugador que iluminará el campo!
49721454,"Le gusta viajar en cualquier vehículo, ya sea en barco, en coche o en moto. Sabe montarse en todo."
49929E5C,Un joven mecánico de bicicletas que se ha tuneado a sí mismo para detener cualquier disparo.
499EC7EC,"El guerrero definitivo, nacido del Proyecto Génesis. Sus tiros son como cometas."
49AC021A,Siempre vela por sus fans en el colegio y los encandila con un adorable guiño.
49AF47D5,Salta una barbaridad. Su cuarto está lleno de peluches de ranas.
49B9F8ED,Un delantero calculador que dedica su vida a obedecer a <FLA:SAKAMAKI>.
49C7C3FB,Estudia el esqueleto humano. Su colección de huesos da mal rollo.
49D0FC1A,Colecciona cajas de cerillas por influencia de su abuelo.
49D88DF4,Miembro despiadado de los vigilantes de Newcrest. Ejecuta sin miramientos a los criminales que atrapa.
49DC7B2A,El Miximax de <FUL:HAKURYU> y <FLC:TSURUGI>. Dos rivales trabajando al unísono.
49E7B83E,"Es el capitán y el portero de los Pequeños Gigantes, se crió en el campo, en Costail."
49EC6068,"Es un prodigio de ventriloquia, entrenado desde niño, nunca mueve los labios."
4A203F88,Un jugador misterioso y fantasmagórico. Nadie sabe nada sobre su pasado.
4A23E972,Una jugadora arácnida con una agilidad sorprendente. Cuenta con nuevos poderes concedidos por <FST:ZANARK>.
4A2B93BB,"Hace experimentos para crear vida, pero no les encuentra el pulso."
4A542874,Le encanta el pescado crudo y va a comprarlo al mercado él mismo.
4A5C599A,"Quien no sepa leer la naturaleza oscura que oculta su mirada inocente, acabará en un buen problema."
4A636C50,"Gracias a los consejos de <FFS:GARCILDO>, este chico puede prever los movimientos de sus rivales."
4A68B406,Le encanta cuidar de su seto y se inquieta si no lo recorta a menudo.
4A874433,"Joven algo ingenuo, pero que adora el fútbol. Su juego es tan agradable como una bocanada de aire fresco."
4A8C178E,Se pone tanta colonia que marea a todo el que se acerca a él.
4A8C98C3,"Solo quiere pasárselo bien, así que para ella, los partidos contra los terrícolas son un juego."
4AA7CE21,Dormir le hace tan feliz que siempre llega tarde a todas partes.
4AB08BFC,"Aunque su apariencia diga lo contrario, tiene muy buen corazón."
4AB1CE07,Sabe tocar la conga y consigue hipnotizar a cualquiera con su ritmo.
4AC46728,"Abierto y sincero, aunque oculta su afición por cuidar gatos callejeros."
4AC4E865,"Proviene de una pequeña isla remota, donde ayudaba a su padre como sacerdotiza en un santuario."
4AD4E85C,"Antes era un estudiante modelo, pero al mudarse se volvió irritable y amargo."
4ADC2652,"Tras el Miximax con <FST:ZANARK>, roba balones con una sonrisa perenne."
4B060D1F,"El fútbol no le interesa demasiado, así que juega para mejorar su expediente."
4B068252,Quiere comprarse una cartera pequeña que no le haga mucho bulto en los pantalones.
4B16826B,Un estudiante del Fauxshore enganchado a los mangas de delincuentes. Le encanta el ambiente de su nuevo equipo.
4B211A95,Una fanática del acero. Visita museos y castillos y adora ver espadas maravillosas.
4B282B92,"Es de fiar y, a menudo, la más solicitada por sus compañeros. Dice que es un engorro ayudarles... pero en el fondo le encanta."
4B452E04,"Joven algo ingenuo, pero que adora el fútbol. Su juego es tan agradable como una bocanada de aire fresco."
4B48FE9C,"A pesar de su aspecto dócil, defiende la portería con uñas y dientes."
4B4E7DB9,Sueña con trasladarse al norte del país y tener su propia granja.
4B619D06,Toma decisiones frías y calculadas. Sus acciones nunca se ven influenciadas por las emociones.
4B73A430,Su barba descuidada refleja su desinterés por la apariencia física.
4B964243,"Está obsesionado con el baloncesto, pero le preocupa no crecer más."
4B9E33AD,"El leal guardaespaldas de <FST:KOTY>, con un brazo mecánico que ha mejorado ilegalmente para ser más fuerte."
4B9EBCE0,Confía mucho en su velocidad. Está impaciente por correr un maratón.
4BA10667,<FFS:GARCILDO> le dio poder para que pudiera ejecutar fieros ataques.
4BA88D92,"La hija de <FST:TSUKIMI>, que siempre tiene una sonrisa en los labios. Todos la quieren por ser el rostro visible de muchas tiendas."
4BAADE31,"Cuando toca la ocarina, hasta los pájaros se detienen a escucharle."
4BBC2B66,Una adorable jugadora que se ha ganado a todo Magmavís. Sus habilidades están a la altura de su belleza.
4BE18345,Un hombre controlador que no descansa hasta que todo sea perfecto. Cuenta con nuevos poderes concedidos por <FST:ZANARK>.
4BE255BF,Un jugador misterioso y fantasmagórico. Nadie sabe nada sobre su pasado.
4BE85000,Es claustrofóbico. Se quedó encerrado en el aula del club y fueron a rescatarlo.
4BE9F98C,"Cree en los ovnis y por eso, cada noche, observa las estrellas."
4BECD0C2,Confía plenamente en sus habilidades. Suele culpar a los que lo rodean cuando las cosas van mal.
4BEF0471,No le hace falta mirar dos veces para saber adónde irá a parar el balón.
4BF3378F,"Cuida a su equipo, pero pasa más tiempo observándolos que entrenándolos, lo que no mejora su reputación."
4C0F2A8E,"No le gusta mucho la luz eléctrica, por eso prefiere utilizar velas."
4C0FA5C3,Le apasiona la música tradicional japonesa y ha visitado casi todos los templos de la región Kanto.
4C4490AA,"Es callado y reservado, pero ataca sin piedad cuando más lo necesita su equipo."
4C47D565,"Empieza las peleas, pero no se acuerda del porqué. Resulta imposible enfadarse con él."
4C6721ED,"Que le corten el moño es, para él, como retirarse del sumo."
